Desktop Version,,,,,,,,
Section,Test scenario,Where it takes you 2,Where it takes you 3,What should be on it,HC Comments July 2026,Status,Stage,Dev Remarks July 2026
Visitor Journey,,,,,,,,
Landing page,Top banner,Client Login,,Clickable link to client portal,,,,
Landing page,Menu,Logo,,Always takes you back home,Menu should stay static,,,
Landing page,Menu,About us,,Clickable link to go to about us page,Menu should stay static,,,
Landing page,Menu,Services,,drop down with clickable list of services and also gives you option to go onto Service page,Menu should stay static,,,
Landing page,Menu,Specialties,,drop down with clickable list of specialties and also gives you option to go onto Sepecialities page,Menu should stay static,,,
Landing page,Menu,Therapists,Therapists page,Should take you to therapists page when clicked,Menu should stay static,,,
Landing page,Menu,Careers (dropdown),,"Should bring up clickable drop down menu: working at havencrest, opportunities, clinical supervision,apply",Menu should stay static,,,
Landing page,Menu,Blogs,,Should be a clickable link,,,,
Landing page,Menu,Request appointment,,Clickable link,Menu should stay static,,,
Landing page,Hero- section 1,,,Section 1 hero,,,,
Landing page,Section 2,Why Havencrest,,Section 2 landing page,,,,
Landing page,Section 3,Who we help,,Section 3 services,,,,
Landing page,Footer,Logo,,Clickable link to go home page,,,,
Landing page,Footer,Quick links,Home,Clickable link to go home page,,,,
Landing page,Footer,Quick links,About,Links to about us page,,,,
Landing page,Footer,Quick links,Services,Links to services page,Each Service should have their own page,,,
Landing page,Footer,Quick links,Specialties,Links to specialties page,Each specialty should have own page,,,
Landing page,Footer,Quick links,Find a therapist,Links to therapists page,,,,
Landing page,Footer,Quick links,Careers,Links to drop down for them to select which option they want,,,,
Landing page,Footer,Quick links,FAQs,FAQs,,,,
Landing page,Footer,Quick links,Contact us,Havencrest_Contact_Us_Page,,,,
Landing page,Footer,Client info,Request appointment,Links to request appointment page,Should link to request appointment page,,,
Landing page,Footer,Client info,Client Login,takes to client Portal page,,,,
Landing page,Footer,Client info,Insurance,Havencrest_Insurance_and_Fees,,,,
Landing page,Footer,Client info,Privacy policy,To take to separate page (will be attached),,,,
Landing page,Footer,Get in touch,Phone,360-474-7990,,,,
Landing page,Footer,Get in touch,Fax,360-447-5250 ,,,,
Landing page,Footer,Get in touch,Email,info@havencrestcounseling.com,,,,
Landing page,Footer,Get in touch,Location(address),"1700 Seventh Ave, Suite 2100, Seattle WA 98101",,,,
Landing page,Footer,Get in touch,Below location,Statement 'Appointments available 7 days a week',,,,
Landing page,Footer (notes),Crisis Support statement,,"Found below the footer- Havencrest is not a crisis or emergency service. If you or someone else is immediate danger, call 9111 or go to your nearest emergency department. If you are experiencing a mental health crisis or need immediate support, pleast contact the Suicide & Crisis Lifeline by calling or texting 988",,,,
Landing page,Footer (notes),Copyright statement,,Copyright@2026 Havencrest.All rights reserved,,,,
Landing page,Top banner,Client Login,,Havencrest_Patient_Portal_Page_Updated,,,,
Landing page,Menu,About us,About us page,About us revised,,,,
Landing page,Menu,Services (drop down with option to open services page),Open service page,Havencrest_Service page Guide,Each Service should have their own page,,,
Landing page,Menu,Specialiaties (drop down with option to open specialties page),,Havencrest_Specialties_Content,Each specialty should have own page,,,
Landing page,Menu,Specialiaties (drop down with option to open specialties page),,Clicking on each drop down should open corresponding card,,,,
Landing page,Menu,Specialiaties (drop down with option to open specialties page),,"On each card, we need need call to action buttons Request appointment, meet the therapist",,,,
Landing page,Menu,Therapists,,Havencrest_Therapists_Page_Guide,,,,
Landing page,Menu,Careers (dropdown),Working at Havencrest,Careers at Havencrest- revised,,,,
Landing page,Menu,Careers (dropdown),Opportunities,Havencrest opportunities,Need to attach the roles,,,
Landing page,Menu,Careers (dropdown),Apply,Linked form,,,,
Landing page,Menu,Blogs,,,,,,
Landing page,Menu,Request appointment,Request app page,Request appointment,We will need to intergrate with a different system ti generate the detail connection form ,,,
Website,,,,Mobile optimized,,,,
